ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,regime,confidence,stake,actual,result,pnl,equity
1774476900,71015.09,71360.8,0.678351,0.287389,-1.2696,-1.3005,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,286.0
1774477800,71360.8,71341.92,0.665549,0.633517,1.5907,7.37,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774478700,71341.92,71289.4,0.360631,-0.128953,-0.9732,-1.0088,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,285.0
1774479600,71289.4,71336.0,6.5e-05,-0.34338,-0.9023,-0.8403,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,286.0
1774480500,71336.0,71193.98,0.648313,0.239355,-1.0898,-0.3124,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774481400,71193.98,71301.53,0.162846,-0.771429,-1.2737,-0.4096,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,287.0
1774482300,71301.53,71221.41,0.740787,0.561384,-1.2907,-0.2984,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,287.0
1774483200,71221.41,71270.85,0.352666,-0.435506,-0.7111,-0.3269,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,288.0
1774484100,71270.85,71323.39,0.44062,0.320498,-1.1721,-0.641,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,288.0
1774485000,71323.39,71272.01,0.570695,0.421839,-0.8992,-0.9703,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,288.0
1774485900,71272.01,71236.86,0.552594,-0.161522,-0.6869,1.3343,-1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,288.0
1774486800,71236.86,71285.01,0.418871,-0.185175,-0.6172,-0.1772,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,289.0
1774487700,71285.01,71220.13,0.718646,0.208451,-0.891,0.3115,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,289.0
1774488600,71220.13,71217.53,0.143524,-0.513616,-0.4697,-0.8907,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,288.0
1774489500,71217.53,71063.99,0.549183,-0.023229,-0.6702,-0.973,-2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,288.0
1774490400,71063.99,70866.07,0.158335,-0.65264,-1.2067,0.4076,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,287.0
1774491300,70866.07,70838.84,0.049955,-0.935394,0.0111,0.1513,-4,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,286.0
1774492200,70838.84,70846.0,0.836753,-0.113572,1.7441,0.4658,-5,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,286.0
1774493100,70846.0,70939.67,0.440551,0.086515,0.3837,-1.285,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,286.0
1774494000,70939.67,70680.98,0.953718,0.420083,-0.95,0.2531,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,286.0
1774494900,70680.98,70828.0,0.105563,-0.893297,-0.989,0.939,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,287.0
1774495800,70828.0,70875.6,0.772636,0.7585,-0.5956,-0.1354,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,287.0
1774496700,70875.6,70720.84,0.948007,0.390356,-1.6982,-1.1841,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,287.0
1774497600,70720.84,70837.86,0.104871,-0.859635,-1.4243,-0.1382,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,288.0
1774498500,70837.86,70806.76,0.997566,0.730234,0.1162,-0.507,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,288.0
1774499400,70806.76,70733.2,0.248796,-0.440635,-0.7311,-2.0248,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,287.0
1774500300,70733.2,70519.88,0.051083,-0.608034,-0.86,-0.9652,-2,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,286.0
