ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,confidence,stake,actual,result,pnl,equity
1775097900,66797.67,66854.88,0.739105,0.618317,-0.3948,-0.869,1,0.76994,UP,0.76994,1.0,UP,WIN,1.0,202.0
1775098200,66854.88,66855.05,0.700011,0.640148,-1.2665,-1.2531,2,0.674882,UP,0.674882,0.0,UP,,0.0,202.0
1775098500,66855.05,66841.29,0.102852,0.001719,-0.9856,-1.0699,3,0.246857,DOWN,0.753143,1.0,DOWN,WIN,1.0,203.0
1775098800,66841.29,66939.58,0.577064,-0.19457,-1.0681,-1.3676,-1,0.525824,UP,0.525824,0.0,UP,,0.0,203.0
1775099100,66939.58,66754.25,0.750543,0.711113,-1.0983,-0.7597,1,0.735978,UP,0.735978,1.0,DOWN,LOSS,-1.0,202.0
1775099400,66754.25,66713.99,0.049979,-0.950021,-0.8399,-0.0347,-1,0.138149,DOWN,0.861851,3.0,DOWN,WIN,3.0,205.0
1775099700,66713.99,66874.57,0.243861,-0.32737,0.087,-0.8536,-2,0.256873,DOWN,0.743127,1.0,UP,LOSS,-1.0,204.0
1775100000,66874.57,66854.88,0.981168,0.631335,-0.2604,0.9056,1,0.880146,UP,0.880146,3.0,DOWN,LOSS,-3.0,201.0
1775100300,66854.88,66805.98,0.518453,-0.268147,-0.7915,-1.4227,-1,0.473977,DOWN,0.526023,0.0,DOWN,,0.0,201.0
1775100600,66805.98,66730.53,0.157791,-0.564861,-1.3008,-1.1395,-2,0.27753,DOWN,0.72247,1.0,DOWN,WIN,1.0,202.0
1775100900,66730.53,66599.98,0.098919,-0.519378,-1.3092,-0.3166,-3,0.269607,DOWN,0.730393,1.0,DOWN,WIN,1.0,203.0
1775101200,66599.98,66543.76,0.419961,-0.548368,0.9322,0.8358,-4,0.296897,DOWN,0.703103,1.0,DOWN,WIN,1.0,204.0
1775101500,66543.76,66588.49,0.353935,-0.645836,-1.0134,-1.0061,-5,0.350511,DOWN,0.649489,0.0,UP,,0.0,204.0
1775101800,66588.49,66569.3,0.512673,0.402031,-1.1549,-0.6117,1,0.56195,UP,0.56195,0.0,DOWN,,0.0,204.0
1775102100,66569.3,66563.83,0.599896,-0.166118,0.0345,-0.4797,-1,0.554437,UP,0.554437,0.0,DOWN,,0.0,204.0
1775102400,66563.83,66623.69,0.15359,-0.060791,-0.9579,-0.8049,-2,0.327382,DOWN,0.672618,0.0,UP,,0.0,204.0
1775102700,66623.69,66531.21,0.796321,0.498252,-0.6824,-0.323,1,0.756782,UP,0.756782,1.0,DOWN,LOSS,-1.0,203.0
1775103000,66531.21,66541.3,0.275097,-0.707088,-1.0178,-0.1867,-1,0.269339,DOWN,0.730661,1.0,UP,LOSS,-1.0,202.0
1775103300,66541.3,66399.99,0.464218,0.063901,-0.7196,0.2063,1,0.471072,DOWN,0.528928,0.0,DOWN,,0.0,202.0
1775103600,66399.99,66400.0,0.090084,-0.909916,0.4715,0.1761,-1,0.073636,DOWN,0.926364,5.0,UP,LOSS,-5.0,197.0
1775103900,66400.0,66400.63,0.6605,0.000152,2.2208,-1.3293,1,0.671717,UP,0.671717,0.0,UP,,0.0,197.0
1775104200,66400.63,66285.35,0.459406,0.008358,8.2198,-1.0148,2,0.417561,DOWN,0.582439,0.0,DOWN,,0.0,197.0
1775104500,66285.35,66280.96,0.047954,-0.764608,-0.3882,0.4657,-1,0.123139,DOWN,0.876861,3.0,DOWN,WIN,3.0,200.0
